Date,Home_team,Away_team,Home_score,Away_score,Match_type
10/16/2021,Jilin,Tongxi,91,79,0
10/16/2021,Qingdao,Sichuan,100,93,0
10/16/2021,Beikong,Shandong,93,105,0
10/16/2021,Guangdong,Shenzhen,106,83,0
10/17/2021,Jiangsu,Beijing,71,87,0
10/17/2021,Shanxi,Ningbo,105,92,0
10/17/2021,Shanghai,Tianjin,120,94,0
10/17/2021,Guangzhou,Liaoning,89,107,0
10/17/2021,Zhejiang,Fujian,108,85,0
10/17/2021,Xinjiang,Guangsha,69,108,0
10/18/2021,Qingdao,Guangdong,90,103,0
10/18/2021,Jilin,Beikong,73,93,0
10/19/2021,Tianjin,Shenzhen,94,122,0
10/19/2021,Xinjiang,Ningbo,109,79,0
10/19/2021,Fujian,Jiangsu,97,88,0
10/19/2021,Shanxi,Guangzhou,97,99,0
10/19/2021,Zhejiang,Beijing,96,73,0
10/19/2021,Shandong,Liaoning,87,98,0
10/20/2021,Sichuan,Shanghai,84,118,0
10/20/2021,Tongxi,Guangsha,90,108,0
10/21/2021,Tianjin,Qingdao,91,79,0
10/21/2021,Guangzhou,Beikong,102,98,0
10/21/2021,Guangdong,Zhejiang,110,94,0
10/21/2021,Xinjiang,Shanxi,97,112,0
10/21/2021,Shenzhen,Jiangsu,107,85,0
10/21/2021,Liaoning,Jilin,103,88,0
10/22/2021,Fujian,Sichuan,80,101,0
10/22/2021,Guangsha,Shandong,112,92,0
10/22/2021,Beijing,Shanghai,109,103,0
10/22/2021,Ningbo,Tongxi,73,97,0
10/23/2021,Zhejiang,Qingdao,105,98,0
10/23/2021,Jiangsu,Tianjin,96,90,0
10/23/2021,Beikong,Xinjiang,116,105,0
10/23/2021,Shanxi,Liaoning,107,99,0
10/24/2021,Shenzhen,Fujian,100,93,0
10/24/2021,Tongxi,Shandong,90,102,0
10/24/2021,Sichuan,Beijing,66,101,0
10/24/2021,Jilin,Ningbo,111,86,0
10/24/2021,Shanghai,Guangdong,97,112,0
10/24/2021,Guangsha,Guangzhou,93,67,0
10/25/2021,Xinjiang,Liaoning,99,109,0
10/25/2021,Tianjin,Zhejiang,89,128,0
10/25/2021,Beikong,Shanxi,97,102,0
10/26/2021,Shanghai,Fujian,117,93,0
10/26/2021,Guangzhou,Tongxi,100,88,0
10/26/2021,Guangdong,Sichuan,111,108,0
10/26/2021,Shandong,Jilin,93,87,0
10/26/2021,Qingdao,Shenzhen,92,102,0
10/27/2021,Beijing,Jiangsu,86,69,0
10/27/2021,Ningbo,Guangsha,75,121,0
10/28/2021,Sichuan,Tianjin,96,94,0
10/28/2021,Liaoning,Tongxi,114,103,0
10/28/2021,Fujian,Zhejiang,90,100,0
10/28/2021,Shanxi,Xinjiang,93,101,0
